"Rule","Severity","File","Line","Message","Value"
"MARKDOWN_LINK_IN_OUTPUT_SOURCE","Warning","docs\architecture\PHASE-3-DATABASE-PERSISTENCE.md","41","Generated documents must retain this label as text but remove the .md hyperlink.","023-operational-failure-and-recovery.md"
"MARKDOWN_LINK_IN_OUTPUT_SOURCE","Warning","docs\architecture\PHASE-3-DATABASE-PERSISTENCE.md","42","Generated documents must retain this label as text but remove the .md hyperlink.","024-architecture-traceability.md"
"MARKDOWN_LINK_IN_OUTPUT_SOURCE","Warning","docs\build\AdministratorGuide-document-inventory.md","7","Generated documents must retain this label as text but remove the .md hyperlink.","../../docs/shared/coverpage.md"
"MARKDOWN_LINK_IN_OUTPUT_SOURCE","Warning","docs\build\AdministratorGuide-document-inventory.md","8","Generated documents must retain this label as text but remove the .md hyperlink.","../../docs/shared/copyright.md"
"MARKDOWN_LINK_IN_OUTPUT_SOURCE","Warning","docs\build\AdministratorGuide-document-inventory.md","9","Generated documents must retain this label as text but remove the .md hyperlink.","../../docs/shared/revision-history.md"
"MARKDOWN_LINK_IN_OUTPUT_SOURCE","Warning","docs\build\AdministratorGuide-document-inventory.md","10","Generated documents must retain this label as text but remove the .md hyperlink.","../../docs/shared/introduction.md"
"MARKDOWN_LINK_IN_OUTPUT_SOURCE","Warning","docs\build\AdministratorGuide-document-inventory.md","11","Generated documents must retain this label as text but remove the .md hyperlink.","../../docs/guides/sql-server-bootstrap.md"
"MARKDOWN_LINK_IN_OUTPUT_SOURCE","Warning","docs\build\AdministratorGuide-document-inventory.md","12","Generated documents must retain this label as text but remove the .md hyperlink.","../../docs/guides/database-configuration-and-security.md"
"MARKDOWN_LINK_IN_OUTPUT_SOURCE","Warning","docs\build\AdministratorGuide-document-inventory.md","13","Generated documents must retain this label as text but remove the .md hyperlink.","../../docs/guides/configuring-api-credentials.md"
"MARKDOWN_LINK_IN_OUTPUT_SOURCE","Warning","docs\build\AdministratorGuide-document-inventory.md","14","Generated documents must retain this label as text but remove the .md hyperlink.","../../docs/operations/README.md"
"MARKDOWN_LINK_IN_OUTPUT_SOURCE","Warning","docs\build\AdministratorGuide-document-inventory.md","15","Generated documents must retain this label as text but remove the .md hyperlink.","../../docs/operations/operations-runbook.md"
"MARKDOWN_LINK_IN_OUTPUT_SOURCE","Warning","docs\build\AdministratorGuide-document-inventory.md","16","Generated documents must retain this label as text but remove the .md hyperlink.","../../docs/operations/logging-and-pool.md"
"MARKDOWN_LINK_IN_OUTPUT_SOURCE","Warning","docs\build\AdministratorGuide-document-inventory.md","17","Generated documents must retain this label as text but remove the .md hyperlink.","../../docs/operations/monitoring-and-diagnostics.md"
"MARKDOWN_LINK_IN_OUTPUT_SOURCE","Warning","docs\build\AdministratorGuide-document-inventory.md","18","Generated documents must retain this label as text but remove the .md hyperlink.","../../docs/operations/backup-and-recovery.md"
"MARKDOWN_LINK_IN_OUTPUT_SOURCE","Warning","docs\build\AdministratorGuide-document-inventory.md","19","Generated documents must retain this label as text but remove the .md hyperlink.","../../docs/guides/database-troubleshooting.md"
"MARKDOWN_LINK_IN_OUTPUT_SOURCE","Warning","docs\build\AdministratorGuide-document-inventory.md","20","Generated documents must retain this label as text but remove the .md hyperlink.","../../docs/reference/command-line-reference.md"
"MARKDOWN_LINK_IN_OUTPUT_SOURCE","Warning","docs\build\AdministratorGuide-document-inventory.md","21","Generated documents must retain this label as text but remove the .md hyperlink.","../../docs/reference/configuration-reference.md"
"MARKDOWN_LINK_IN_OUTPUT_SOURCE","Warning","docs\build\AdministratorGuide-document-inventory.md","22","Generated documents must retain this label as text but remove the .md hyperlink.","../../docs/reference/database-configuration.md"
"MARKDOWN_LINK_IN_OUTPUT_SOURCE","Warning","docs\build\AdministratorGuide-document-inventory.md","23","Generated documents must retain this label as text but remove the .md hyperlink.","../../docs/reference/database-schema-reference.md"
"MARKDOWN_LINK_IN_OUTPUT_SOURCE","Warning","docs\build\AdministratorGuide-document-inventory.md","24","Generated documents must retain this label as text but remove the .md hyperlink.","../../docs/reference/ingestion-audit-reference.md"
"MARKDOWN_LINK_IN_OUTPUT_SOURCE","Warning","docs\build\AdministratorGuide-document-inventory.md","25","Generated documents must retain this label as text but remove the .md hyperlink.","../../docs/governance/README.md"
"MARKDOWN_LINK_IN_OUTPUT_SOURCE","Warning","docs\build\AdministratorGuide-document-inventory.md","26","Generated documents must retain this label as text but remove the .md hyperlink.","../../docs/governance/data-and-privacy-governance.md"
"MARKDOWN_LINK_IN_OUTPUT_SOURCE","Warning","docs\build\AdministratorGuide-document-inventory.md","27","Generated documents must retain this label as text but remove the .md hyperlink.","../../docs/governance/dependency-and-attribution-management.md"
"MARKDOWN_LINK_IN_OUTPUT_SOURCE","Warning","docs\build\AdministratorGuide-document-inventory.md","28","Generated documents must retain this label as text but remove the .md hyperlink.","../../docs/governance/release-compliance-checklist.md"
"MARKDOWN_LINK_IN_OUTPUT_SOURCE","Warning","docs\build\AdministratorGuide-document-inventory.md","29","Generated documents must retain this label as text but remove the .md hyperlink.","../../docs/release/Release-Process.md"
